"id","description","data_frequency","status","created_at","updated_at","data_type_id","node_id"
"c15f9391-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.516+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"c162c7e0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.523+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"c15f9390-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.523+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"c15fbaa0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.523+00","35dcdad0-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"c15fbaa1-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-10 04:20:22+00","2016-09-29 19:20:17.523+00","35dcdad1-8679-11e6-bda3-ef77801087ee","c14ccee0-8679-11e6-a353-2f6c041e2491"
"763701a0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-09-30 18:12:04.577+00","35dcdad1-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"d3cea980-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-09-30 18:12:04.578+00","35dcdad1-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"763bbc90-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-09-30 18:12:04.578+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"763d6a40-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-09-30 18:12:04.579+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"76402960-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-09-30 18:12:04.579+00","35dcb3c2-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"d3cf6cd0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-09-30 18:12:04.58+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"d3cd7100-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-10-07 07:43:04.976+00","35dcdad2-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"7635f030-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-03 21:50:32+00","2016-10-07 07:43:04.976+00","35dcdad2-8679-11e6-bda3-ef77801087ee","762c5340-8679-11e6-a353-2f6c041e2491"
"c5e80c70-867a-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-17 01:06:49+00","2016-09-29 19:28:05.932+00","35dcdad1-8679-11e6-bda3-ef77801087ee","c5e39fa0-867a-11e6-a353-2f6c041e2491"
"d3d909c1-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 06:10:39+00","2016-09-30 18:12:04.58+00","35dcb3c0-8679-11e6-bda3-ef77801087ee","d3cbc350-8679-11e6-a353-2f6c041e2491"
"d3cf45c0-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-09-30 18:12:04.58+00","35dcdad0-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"d3d0cc60-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:22:31+00","2016-09-30 18:12:04.581+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","d3ca3cb0-8679-11e6-a353-2f6c041e2491"
"d3d56040-8679-11e6-a353-2f6c041e2491","\N","1800000","OFFLINE","2016-08-15 05:31:29+00","2016-09-30 18:12:04.582+00","35dcb3c1-8679-11e6-bda3-ef77801087ee","d3cb7530-8679-11e6-a353-2f6c041e2491"
